FORMAT         :XY
CURVE TYPE     :XY
X Units        :s
Y Units        :rad
X Quantity Type:TI
Y Quantity Type:AN
SEPARATOR      :,
COLUMNS        :X,Y
0.0,0.0
9.99e-05,7.78205e-14
0.0001998,3.8934754e-13
0.00029969998,7.9945414e-13
0.0003996,1.397153e-12
0.00049994997,2.367143e-13
0.00059984997,-1.9980844e-12
0.00069975,-5.8172217e-12
0.00079965,-1.12844725e-11
0.00089955,-1.8849578e-11
0.0009998999,-2.8092336e-11
0.0010998,-3.9374996e-11
0.0011996999,-5.1808495e-11
0.0012996,-6.560886e-11
0.00139995,-8.16628e-11
0.00149985,-1.018771e-10
0.0015997499,-6.5935213e-09
0.00169965,-6.685124e-08
0.0017995499,-3.2440698e-07
0.0018998999,-1.0145716e-06
0.0019997999,-2.3812765e-06
0.0020997,-4.7997196e-06
0.0021996,-8.726008e-06
0.00229995,-1.4718095e-05
0.00239985,-2.3215898e-05
0.00249975,-3.4996094e-05
0.0025996498,-5.0910072e-05
0.00269955,-7.184738e-05
0.0027999,-9.889336e-05
0.0028998,-0.0001327337
0.0029997,-0.00017457333
0.0030995999,-0.00022571618
0.0031999499,-0.00028769966
0.0032998498,-0.00036121166
0.00339975,-0.00044787972
0.00349965,-0.0005491873
0.0036,-0.0006671741
0.0036999,-0.0008024326
0.0037997998,-0.0009571696
0.0038996998,-0.0011331007
0.0039995997,-0.0013319093
0.0040999497,-0.001556123
0.00419985,-0.0018049902
0.00429975,-0.0020804445
0.00439965,-0.0023832405
0.00449955,-0.002714345
0.0045999,-0.0030763138
0.0046997997,-0.003466026
0.0047997,-0.0038852228
0.0048996,-0.004334346
0.00499995,-0.0048161503
0.00509985,-0.0053268424
0.00519975,-0.0058690147
0.0052996497,-0.0064431555
0.00539955,-0.0070499233
0.0054999,-0.007693118
0.0055998,-0.008367858
0.0056996997,-0.00907755
0.0057996,-0.009822795
0.00589995,-0.010607712
0.0059998496,-0.0114258295
0.00609975,-0.012280928
0.00619965,-0.013173301
0.0062995497,-0.014103041
0.0063998997,-0.015074852
0.0064998,-0.016080199
0.0065996996,-0.017123513
0.0066996,-0.018204993
0.00679995,-0.01933009
0.00689985,-0.02048891
0.0069997497,-0.021686377
0.00709965,-0.022922523
0.0071995496,-0.024197225
0.0072998996,-0.02551634
0.0073998,-0.026867704
0.0074997,-0.028256647
0.0075995997,-0.029682621
0.0076999497,-0.031151779
0.00779985,-0.032650333
0.00789975,-0.03418418
0.00799965,-0.035752628
0.008099549,-0.03735488
0.008199899,-0.038997345
0.0082998,-0.040663898
0.0083997,-0.04236003
0.0084996,-0.04408383
0.00859995,-0.045841657
0.00869985,-0.047615904
0.008799749,-0.049412217
0.00889965,-0.05122832
0.00899955,-0.053061932
0.0090999,-0.054919187
0.0091998,-0.05678125
0.0092997,-0.058654446
0.009399599,-0.0605366
0.009499949,-0.06243423
0.00959985,-0.06432883
0.00969975,-0.06622758
0.00979965,-0.06812916
0.00989955,-0.07003233
0.0099999,-0.071944654
0.010099799,-0.07384823
0.0101997,-0.07575082
0.0102996,-0.077651545
0.01039995,-0.07955815
0.01049985,-0.081452906
0.01059975,-0.08334385
0.010699649,-0.08523062
0.0107995495,-0.08711298
0.0108998995,-0.08899906
0.0109998,-0.09087193
0.0110997,-0.09273997
0.0111996,-0.0946033
0.01129995,-0.09647036
0.011399849,-0.09832453
0.0114997495,-0.1001743
0.01159965,-0.10201997
0.01169955,-0.10386189
0.0117999,-0.10570851
0.0118998,-0.10754346
0.011999699,-0.10937517
0.0120995995,-0.11120364
0.0121999495,-0.11303719
0.01229985,-0.114859335
0.01239975,-0.116678305
0.01249965,-0.1184941
0.012599549,-0.12030656
0.012699899,-0.1221238
0.012799799,-0.12392934
0.0128997,-0.12573119
0.0129996,-0.1275291
0.01309995,-0.12933102
0.01319985,-0.13112055
0.013299749,-0.1329056
0.013399649,-0.13468607
0.01349955,-0.13646181
0.0135999,-0.13824078
0.0136998,-0.14000693
0.0137997,-0.14176823
0.013899599,-0.14352462
0.013999949,-0.14528395
0.014099849,-0.14703053
0.01419975,-0.14877234
0.01429965,-0.15050937
0.01439955,-0.15224186
0.0144999,-0.15397774
0.014599799,-0.15570171
0.014699699,-0.15742177
0.0147996,-0.15913807
0.01489995,-0.16085848
0.01499985,-0.16256766
0.01509975,-0.16427338
0.015199649,-0.16597578
0.015299549,-0.16767487
0.015399899,-0.16937847
0.0154997995,-0.17107134
0.0155997,-0.17276132
0.015699599,-0.17444848
0.015799949,-0.17614053
0.01589985,-0.17782249
0.01599975,-0.17950201
0.01609965,-0.18117927
0.01619955,-0.18285431
0.0162999,-0.18453479
0.016399799,-0.1862057
0.0164997,-0.18787473
0.0165996,-0.18954197
0.01669995,-0.19121498
0.01679985,-0.19287896
0.01689975,-0.19454147
0.016999649,-0.19620264
0.01709955,-0.19786288
0.0171999,-0.1995297
0.0172998,-0.20118825
0.0173997,-0.20284599
0.0174996,-0.20450306
0.01759995,-0.20616691
0.017699849,-0.2078227
0.01779975,-0.20947781
0.01789965,-0.2111323
0.01799955,-0.21278612
0.0180999,-0.21444675
0.0181998,-0.21609923
0.018299699,-0.21775118
0.0183996,-0.21940252
0.01849995,-0.22106081
0.01859985,-0.22271124
0.01869975,-0.22436137
0.01879965,-0.22601132
0.018899549,-0.22766118
0.018999899,-0.22931847
0.0190998,-0.23096845
0.0191997,-0.23261857
0.0192996,-0.23426887
0.01939995,-0.23592682
0.01949985,-0.23757751
0.019599749,-0.23922838
0.01969965,-0.24087945
0.01979955,-0.2425307
0.0198999,-0.24418949
0.0199998,-0.24584097
